sample	non_synonymous	synonymous	ratio
GCA_000268545.1_ASM26854v1_genomic	60	23	2.6087
GCA_000382545.1_Yersinia_pestis_assembly_genomic	589	140	4.20714
GCA_000382525.1_Yersinia_pestis_G3768_assembly_genomic	880	145	6.06897
GCA_016103005.1_ASM1610300v1_genomic	321	51	6.29412
GCA_016102975.1_ASM1610297v1_genomic	246	51	4.82353
GCA_016102965.1_ASM1610296v1_genomic	367	49	7.4898
GCA_016102905.1_ASM1610290v1_genomic	235	50	4.7
GCA_016102945.1_ASM1610294v1_genomic	234	52	4.5
GCA_016102915.1_ASM1610291v1_genomic	265	51	5.19608
GCA_016102855.1_ASM1610285v1_genomic	286	52	5.5
GCA_016102845.1_ASM1610284v1_genomic	232	49	4.73469
GCA_016102875.1_ASM1610287v1_genomic	334	48	6.95833
GCA_016102745.1_ASM1610274v1_genomic	291	49	5.93878
GCA_016102785.1_ASM1610278v1_genomic	295	51	5.78431
GCA_016102765.1_ASM1610276v1_genomic	288	52	5.53846
GCA_016102755.1_ASM1610275v1_genomic	310	45	6.88889
GCA_016102775.1_ASM1610277v1_genomic	286	46	6.21739
GCA_016102655.1_ASM1610265v1_genomic	307	45	6.82222
GCA_016102685.1_ASM1610268v1_genomic	418	85	4.91765
GCA_016102675.1_ASM1610267v1_genomic	276	52	5.30769
GCA_016102665.1_ASM1610266v1_genomic	960	84	11.4286
GCA_016102645.1_ASM1610264v1_genomic	278	47	5.91489
GCA_016102545.1_ASM1610254v1_genomic	322	50	6.44
GCA_016102585.1_ASM1610258v1_genomic	239	53	4.50943
GCA_016102565.1_ASM1610256v1_genomic	475	93	5.10753
GCA_016102575.1_ASM1610257v1_genomic	255	45	5.66667
GCA_016102555.1_ASM1610255v1_genomic	680	62	10.9677
GCA_015190655.1_ASM1519065v1_genomic	164	39	4.20513
GCA_015158485.1_ASM1515848v1_genomic	81	17	4.76471
GCA_015158475.1_ASM1515847v1_genomic	67	17	3.94118
GCA_015158575.1_ASM1515857v1_genomic	87	20	4.35
GCA_015158585.1_ASM1515858v1_genomic	76	21	3.61905
GCA_015158615.1_ASM1515861v1_genomic	72	19	3.78947
GCA_015158635.1_ASM1515863v1_genomic	85	20	4.25
GCA_015158625.1_ASM1515862v1_genomic	68	19	3.57895
GCA_015158675.1_ASM1515867v1_genomic	152	47	3.23404
GCA_015158715.1_ASM1515871v1_genomic	149	41	3.63415
GCA_015158695.1_ASM1515869v1_genomic	153	37	4.13514
GCA_015158705.1_ASM1515870v1_genomic	151	39	3.87179
GCA_015158755.1_ASM1515875v1_genomic	167	43	3.88372
GCA_015158765.1_ASM1515876v1_genomic	151	39	3.87179
GCA_015158805.1_ASM1515880v1_genomic	156	47	3.31915
GCA_015158795.1_ASM1515879v1_genomic	157	40	3.925
GCA_015158815.1_ASM1515881v1_genomic	158	41	3.85366
GCA_015158845.1_ASM1515884v1_genomic	167	41	4.07317
GCA_015158875.1_ASM1515887v1_genomic	160	41	3.90244
GCA_015158895.1_ASM1515889v1_genomic	156	41	3.80488
GCA_015158935.1_ASM1515893v1_genomic	155	41	3.78049
GCA_015158905.1_ASM1515890v1_genomic	169	40	4.225
GCA_015158945.1_ASM1515894v1_genomic	169	41	4.12195
GCA_015158955.1_ASM1515895v1_genomic	173	42	4.11905
GCA_015158995.1_ASM1515899v1_genomic	163	40	4.075
GCA_015159005.1_ASM1515900v1_genomic	159	40	3.975
GCA_015159045.1_ASM1515904v1_genomic	175	48	3.64583
GCA_015159035.1_ASM1515903v1_genomic	158	41	3.85366
GCA_015159075.1_ASM1515907v1_genomic	156	41	3.80488
GCA_015159085.1_ASM1515908v1_genomic	163	41	3.97561
GCA_015159105.1_ASM1515910v1_genomic	158	41	3.85366
GCA_015159145.1_ASM1515914v1_genomic	169	42	4.02381
GCA_015159135.1_ASM1515913v1_genomic	159	42	3.78571
GCA_015159175.1_ASM1515917v1_genomic	161	41	3.92683
GCA_015159195.1_ASM1515919v1_genomic	172	41	4.19512
GCA_015159615.1_ASM1515961v1_genomic	441	53	8.32075
GCA_015274745.1_ASM1527474v1_genomic	287	42	6.83333
GCA_015274715.1_ASM1527471v1_genomic	262	46	5.69565
GCA_015274685.1_ASM1527468v1_genomic	229	41	5.58537
GCA_014734395.1_ASM1473439v1_genomic	174	46	3.78261
GCA_014734355.1_ASM1473435v1_genomic	178	47	3.78723
GCA_014734405.1_ASM1473440v1_genomic	178	47	3.78723
GCA_013421535.1_ASM1342153v1_genomic	150	20	7.5
GCA_013421545.1_ASM1342154v1_genomic	237	17	13.9412
GCA_013421555.1_ASM1342155v1_genomic	214	16	13.375
GCA_013421465.1_ASM1342146v1_genomic	175	19	9.21053
GCA_013421455.1_ASM1342145v1_genomic	312	19	16.4211
GCA_015350455.1_ASM1535045v1_genomic	273	49	5.57143
GCA_015350435.1_ASM1535043v1_genomic	287	51	5.62745
GCA_015350425.1_ASM1535042v1_genomic	308	50	6.16
GCA_013391945.1_ASM1339194v1_genomic	134	42	3.19048
GCA_013391965.1_ASM1339196v1_genomic	137	45	3.04444
GCA_013392085.1_ASM1339208v1_genomic	177	48	3.6875
GCA_013392055.1_ASM1339205v1_genomic	175	49	3.57143
GCA_013392045.1_ASM1339204v1_genomic	177	48	3.6875
GCA_013392105.1_ASM1339210v1_genomic	175	48	3.64583
GCA_013392075.1_ASM1339207v1_genomic	176	48	3.66667
GCA_013392145.1_ASM1339214v1_genomic	176	48	3.66667
GCA_010974855.1_ASM1097485v1_genomic	520	56	9.28571
GCA_010974835.1_ASM1097483v1_genomic	240	48	5
GCA_010974845.1_ASM1097484v1_genomic	313	48	6.52083
GCA_009909645.1_ASM990964v1_genomic	285	47	6.06383
GCA_009909655.1_ASM990965v1_genomic	273	50	5.46
GCA_900637475.1_51108_B01_genomic	4428	9535	0.464394
GCA_000834295.1_ASM83429v1_genomic	4400	9495	0.463402
SAMEA5818830	94	44	2.13636
SAMEA5818829	87	44	1.97727
SAMEA5818828	92	45	2.04444
SAMEA5818826	107	46	2.32609
SAMEA5818825	71	37	1.91892
SAMEA5818822	79	42	1.88095
SAMEA5818821	92	42	2.19048
SAMEA5818818	80	41	1.95122
SAMEA5818817	74	32	2.3125
SAMEA5818815	88	45	1.95556
SAMEA5818811	53	21	2.52381
SAMEA5818809	72	27	2.66667
SAMEA5818808	57	37	1.54054
SAMEA5818806	68	25	2.72
SAMEA5818805	80	39	2.05128
SAMEA5818803	101	46	2.19565
SAMEA5818801	125	56	2.23214
SAMEA5818800	144	57	2.52632
SAMEA5818799	135	53	2.54717
SAMEA5818798	114	50	2.28
SAMEA5661390	83	51	1.62745
SAMEA5661389	128	43	2.97674
SAMEA5661385	110	51	2.15686
SAMEA5661384	127	45	2.82222
SAMEA5661372	141	57	2.47368
SAMEA5661367	174	59	2.94915
SAMEA5661365	114	38	3
SAMEA5661364	85	38	2.23684
SAMEA5661363	169	54	3.12963
SAMEA5661360	109	45	2.42222
SAMEA5054093	31	25	1.24
SAMEA5054092	84	24	3.5
SAMEA5054090	68	24	2.83333
SAMEA5054089	65	24	2.70833
SAMEA104233048	275	108	2.5463
SAMEA104233049	378	143	2.64336
SAMEA104233047	195	78	2.5
SAMEA104233046	176	72	2.44444
SAMEA104488961	167	55	3.03636
SAMEA4354665	158	53	2.98113
SAMEA3937654	61	24	2.54167
SAMEA3937653	67	24	2.79167
SAMEA3713715	144	57	2.52632
SAMEA3713714	132	54	2.44444
SAMEA3713713	156	59	2.64407
SAMEA3713712	145	57	2.54386
SAMEA3713711	137	54	2.53704
SAMN00715800	65	25	2.6
SAMEA3541827	232	79	2.93671
SAMEA3541826	430	190	2.26316
SAMEA1061800	83	35	2.37143
SAMEA7293136	64	21	3.04762
SAMEA7293135	168	105	1.6
SAMEA6812877	316	129	2.44961
SAMEA6812876	273	109	2.50459
SAMEA7313236_38	113	48	2.35417
SAMEA7313243_45	57	28	2.03571
SAMEA7313246_49	113	45	2.51111
SAMEA6651390	87	40	2.175
SAMEA6637004	92	41	2.2439
SAMEA6637002	107	43	2.48837
