Laboratory ID	Individual ID	Element Used	Country	Province	Municipality	Cemetery	Cemetery/phase date range	Site code	Time Point	Arm Position	Dating technique	Individual date range	Julia Adjustments - Jesper to review	Jesper Finalized	Included in analyses	cMYC copies per uL (avg)	pla Positive PCR Replicates	Plague Status
LP135	DA	Tooth	Denmark	Central Denmark Region	Aarhus Municipality	Nordby	1050-1250 AD	FHM 3970	Pre-BD	Pre	Cemetery Dating	1050-1250 AD	1050-1250 AD	1050-1250 AD	Plague PCR detection			
LP128	DC	Tooth	Denmark	Central Denmark Region	Aarhus Municipality	Nordby	1050-1250 AD	FHM 3970	Pre-BD	Pre	Cemetery Dating	1050-1250 AD	1050-1250 AD	1050-1250 AD	Plague PCR detection			
LP140	DD	Tooth	Denmark	Central Denmark Region	Aarhus Municipality	Nordby	1050-1250 AD	FHM 3970	Pre-BD	Pre	Cemetery Dating	1050-1250 AD	1050-1250 AD	1050-1250 AD	Plague PCR detection			
LP144	DM	Tooth	Denmark	Central Denmark Region	Aarhus Municipality	Nordby	1050-1250 AD	FHM 3970	Pre-BD	Pre	Cemetery Dating	1050-1250 AD	1050-1250 AD	1050-1250 AD	Plague PCR detection			
LP137	DR	Tooth	Denmark	Central Denmark Region	Aarhus Municipality	Nordby	1050-1250 AD	FHM 3970	Pre-BD	Pre	Cemetery Dating	1050-1250 AD	1050-1250 AD	1050-1250 AD	Plague PCR detection			
LP142	DV	l	Denmark	Central Denmark Region	Aarhus Municipality	Nordby	1050-1250 AD	FHM 3970	Pre-BD	Before	Cemetery Dating	1050-1250 AD	1050-1250 AD	1050-1250 AD	"Neutral, Plague PCR Detection"	24.6		
LP151	EB	Tooth	Denmark	Central Denmark Region	Aarhus Municipality	Nordby	1050-1250 AD	FHM 3970	Pre-BD	Before	Cemetery Dating	1050-1250 AD	1050-1250 AD	1050-1250 AD	"GWAS, neutral, Plague PCR detection"	85.8		
LP141	EM	Tooth	Denmark	Central Denmark Region	Aarhus Municipality	Nordby	1050-1250 AD	FHM 3970	Pre-BD	Before	Cemetery Dating	1050-1250 AD	1050-1250 AD	1050-1250 AD	"Neutral, Plague PCR Detection"	76.7		
LP143	EQ	Tooth	Denmark	Central Denmark Region	Aarhus Municipality	Nordby	1050-1250 AD	FHM 3970	Pre-BD	Pre	Cemetery Dating	1050-1250 AD	1050-1250 AD	1050-1250 AD	Plague PCR detection			
LP158	EW	Tooth	Denmark	Central Denmark Region	Aarhus Municipality	Nordby	1050-1250 AD	FHM 3970	Pre-BD	Pre	Cemetery Dating	1050-1250 AD	1050-1250 AD	1050-1250 AD	Plague PCR detection			
LP157	EZ	Tooth	Denmark	Central Denmark Region	Aarhus Municipality	Nordby	1050-1250 AD	FHM 3970	Pre-BD	Before	Cemetery Dating	1050-1250 AD	1050-1250 AD	1050-1250 AD	"GWAS, exon, neutral, Plague PCR Detection"	130		
LP149	FF	Tooth	Denmark	Central Denmark Region	Aarhus Municipality	Nordby	1050-1250 AD	FHM 3970	Pre-BD	Pre	Cemetery Dating	1050-1250 AD	1050-1250 AD	1050-1250 AD	Plague PCR detection			
LP163	FN	Tooth	Denmark	Central Denmark Region	Aarhus Municipality	Nordby	1050-1250 AD	FHM 3970	Pre-BD	Before	Cemetery Dating	1050-1250 AD	1050-1250 AD	1050-1250 AD	"GWAS, exon, neutral, Plague PCR Detection"	52.4	1	
LP159	FO	Tooth	Denmark	Central Denmark Region	Aarhus Municipality	Nordby	1050-1250 AD	FHM 3970	Pre-BD	Pre	Cemetery Dating	1050-1250 AD	1050-1250 AD	1050-1250 AD	Plague PCR detection		1	
LD54	G.1	Tooth	Denmark	Central Denmark Region	Viborg Municipality	Sct Mathias	1100-1529 AD	VSM 906F	Pre-BD	Pre-1300	"Grave style, location, stratigraphy"	1100-1350 AD	1100 - 1300 AD	1100 - 1300 AD	Plague PCR detection			
LR23	G.10	Tooth	Denmark	Central Denmark Region	Viborg Municipality	Sct Mathias	1100-1529 AD	VSM 906F	Pre-BD	Pre-1300	"Grave style, location, stratigraphy"	1100-1350 AD	1100 - 1300 AD	1100 - 1300 AD	Plague PCR detection			
LD59	G.100 x278	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Post-BD	C?	Arm position	1350-1560 AD	1350 - 1450 AD	1400 - 1536	"Neutral, Plague PCR Detection"	1.2		
LR25	G.101	Tooth	Denmark	Central Denmark Region	Viborg Municipality	Sct Michael	1000-1529 AD	JAH 1-77	Post-BD	D	Arm position	1350-1529 AD	1380 - 1520 AD	1400 - 1529	Plague PCR detection			
LD60	G.103	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Post-BD	CC	Arm position	1350-1560 AD	1350 - 1450 AD	1400 - 1536	"GWAS, exon, neutral, Plague PCR Detection"	16		
LD107	G.106	Tooth	Denmark	Central Denmark Region	Viborg Municipality	Sct Michael	1000-1529 AD	JAH 1-77	Post-BD	C	Arm position	1350-1529 AD	1380 - 1520 AD	1400 - 1529	Plague PCR detection			
LD83	G.110	Tooth	Denmark	Central Denmark Region	Viborg Municipality	Sct Mathias	1100-1529 AD	VSM 855F	Pre-BD	pre (AA)	Arm position	1100-1350 AD	1100 - 1250 AD	1100 - 1250 AD	Plague PCR detection			
LR34	G.111	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Post-BD	DC	Arm position	1350-1560 AD	1450 - 1536 AD	1400 - 1536	Plague PCR detection			
LD115	G.112	Tooth	Denmark	Central Denmark Region	Viborg Municipality	Sct Mathias	1100-1529 AD	VSM 855F	Pre-BD	AA	Arm position	1100-1350 AD	1100 - 1250 AD	1100 - 1250 AD	"GWAS, exon, neutral, Plague PCR detection"	15.8		
LD70	G.113 x293	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Post-BD	DD	Arm position	1350-1560 AD	1450 - 1536 AD	1400 - 1536	Plague PCR detection			
LP118	G.115	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Post-BD	CC	Arm position	1350-1560 AD	1350 - 1450 AD	1400 - 1536	Plague PCR detection		1	
LR30	G.12	Tooth	Denmark	Central Denmark Region	Viborg Municipality	Sct Drotten	1100-1529 AD	VSM 902F 	Pre-BD	Pre-1300	Arm position & stratigraphy	1100-1350 AD	1100 - 1300 AD	1100 - 1300 AD	Plague PCR detection			
LP223	G.124	Tooth	Denmark	Region Zealand	Lolland Municipality	Refshale	1100-1350 AD	Refshale	BD	B	Arm position	?	1100 - 1350 AD	1250 - 1400	Plague PCR detection		1	
LP207	G.125	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Tirup	1150-1350 AD	VKH 1201	BD	B	Arm position	?	1290-1350 AD	1290-1350 AD	Plague PCR detection			
LR35	G.125 x319	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Post-BD	CD	Arm position	1350-1560 AD	1450 - 1536 AD	1400 - 1536	Plague PCR detection			
LP224	G.127	Tooth	Denmark	Region Zealand	Lolland Municipality	Refshale	1100-1350 AD	Refshale	BD	B	Arm position	?	1100 - 1350 AD	1250 - 1400	Plague PCR detection			
LP225	G.129	Tooth	Denmark	Region Zealand	Lolland Municipality	Refshale	1100-1350 AD	Refshale	BD	B	Arm position	?	1100 - 1350 AD	1250 - 1400	Plague PCR detection		1	
LP226	G.137	Tooth	Denmark	Region Zealand	Lolland Municipality	Refshale	1100-1350 AD	Refshale	BD	B	Arm position	?	1100 - 1350 AD	1250 - 1400	Plague PCR detection			
LD116	G.139	Tooth	Denmark	Central Denmark Region	Viborg Municipality	Sct Mathias	1100-1529 AD	VSM 855F	Pre-BD	Pre-1300	Cemetery location	1100-1350 AD	1100 - 1300 AD	1100 - 1300 AD	"GWAS, exon, neutral, Plague PCR detection"	40.7		
LD117	G.139 x284 (loose in G.139)	Tooth	Denmark	Central Denmark Region	Viborg Municipality	Sct Mathias	1100-1529 AD	VSM 855F	Pre-BD	Pre-1300	Cemetery location	1100-1350 AD	1100 - 1300 AD	1100 - 1300 AD	Plague PCR Detection			
LD77	G.147	Tooth	Denmark	Central Denmark Region	Viborg Municipality	Sct Mathias	1100-1529 AD	VSM 855F	Post-BD	Post (C/D)	Arm position	1350-1529 AD	1350 - 1450 AD	1350 - 1450 AD	Plague PCR detection			
LP227	G.148	Tooth	Denmark	Region Zealand	Lolland Municipality	Refshale	1100-1350 AD	Refshale	BD	B	Arm position	?	1100 - 1350 AD	1250 - 1400	Plague PCR detection			
LD78	G.155	Tooth	Denmark	Central Denmark Region	Viborg Municipality	Sct Mathias	1100-1529 AD	VSM 855F	Pre-BD	Pre B 	Arm position & stratigraphy	1100-1350 AD	1250 - 1350 AD	1250 - 1350 AD	Plague PCR detection			
LD71	G.16	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Post-BD	C	Arm position	1350-1560 AD	1350 - 1450 AD	1400 - 1536	"GWAS, exon, neutral, Plague PCR Detection"	15	6	Positive
LD79	G.163	Tooth	Denmark	Central Denmark Region	Viborg Municipality	Sct Mathias	1100-1529 AD	VSM 855F	Pre-BD	Pre (AA)	"Grave style, location, stratigraphy"	1100-1350 AD	1100 - 1300 AD	1100 - 1300 AD	Plague PCR detection			
LP228	G.166	Tooth	Denmark	Region Zealand	Lolland Municipality	Refshale	1100-1350 AD	Refshale	BD	B	Arm position	?	1100 - 1350 AD	1250 - 1400	Plague PCR detection			
LP168	G.167	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Post-BD	After	Arm position	1350-1560 AD	1350 - 1536 AD	1350 - 1536 AD	"GWAS, exon, neutral, Plague PCR Detection"	56		
LD108	G.17	Tooth	Denmark	Central Denmark Region	Viborg Municipality	Sct Drotten	1100-1529 AD	VSM 902F	Pre-BD	Pre-1300	Arm position & stratigraphy	1100-1350 AD	1100 - 1300 AD	1100 - 1300 AD	"Exon, Plague PCR detection"	21.9		
LP229	G.172	Tooth	Denmark	Region Zealand	Lolland Municipality	Refshale	1100-1350 AD	Refshale	BD	B	Arm position	?	1100 - 1350 AD	1250 - 1400	Plague PCR detection			
LD84	G.174	Tooth	Denmark	Central Denmark Region	Viborg Municipality	Sct Mathias	1100-1529 AD	VSM 855F	Pre-BD	Pre (AA)	Arm position	1100-1350 AD	1100 - 1250 AD	1100 - 1250 AD	Plague PCR detection			
LD85	G.179	Tooth	Denmark	Central Denmark Region	Viborg Municipality	Sct Mathias	1100-1529 AD	VSM 855F	Post-BD	Post (C/C)	Arm position	1350-1529 AD	1350 - 1450 AD	1350 - 1450 AD	Plague PCR detection			
LP217	G.18	Tooth	Denmark	Region Zealand	Lolland Municipality	Refshale	1100-1350 AD	Refshale	BD	B	Arm position	?	1100 - 1350 AD	1250 - 1400	Plague PCR detection			
LP154	G.183	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Pre-BD	Before	Arm position	1250-1350 AD	1250 - 1350 AD	1250 - 1350 AD	"GWAS, exon, neutral, Plague PCR Detection"	38.1		
LP230	G.187	Tooth	Denmark	Region Zealand	Lolland Municipality	Refshale	1100-1350 AD	Refshale	BD	B	Arm position	?	1100 - 1350 AD	1250 - 1400	Plague PCR detection		1	
LP231	G.192	Tooth	Denmark	Region Zealand	Lolland Municipality	Refshale	1100-1350 AD	Refshale	BD	B	Arm position	?	1100 - 1350 AD	1250 - 1400	Plague PCR detection			
LP232	G.192x	Tooth	Denmark	Region Zealand	Lolland Municipality	Refshale	1100-1350 AD	Refshale	BD	B?	Arm position	?	1100 - 1350 AD	1250 - 1400	Plague PCR detection			
LP208	G.197	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Tirup	1150-1350 AD	VKH 1201	BD	B	Arm position	?	1290-1350 AD	1290-1350 AD	Plague PCR detection			
LP125	G.199	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Post-BD	CC	Arm position	1350-1560 AD	1350 - 1450 AD	1400 - 1536	Plague PCR detection		1	
LD61	G.199	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Post-BD	CC	?	1350-1560 AD	1350 - 1450 AD	1400 - 1536	Plague PCR detection			
LP173	G.20	Tooth	Denmark	Region Zealand	Lolland Municipality	Refshale	1100-1350 AD	Refshale	Pre-BD	B	Arm position	1100-1350 AD	1100 - 1350 AD	1250 - 1400	Plague PCR detection			
LP126	G.201	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Post-BD	CC	Arm position	1350-1560 AD	1350 - 1450 AD	1400 - 1536	Plague PCR detection			
LP169	G.203	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Pre-BD	Pre	Arm position	1250-1350 AD	1250 - 1350 AD	?	Plague PCR detection			
LP124	G.204	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Post-BD	DC	Arm position	1350-1560 AD	1450 - 1536 AD	1400 - 1536	"GWAS, neutral, Plague PCR Detection"	0.4		
LP209	G.205	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Tirup	1150-1350 AD	VKH 1201	BD	B	Arm position	?	1290-1350 AD	1290-1350 AD	Plague PCR detection		1	
LD72	G.207	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Post-BD	CB	Arm position	1350-1560 AD	1350 - 1450 AD	1400 - 1536	Plague PCR detection		6	Positive
LP210	G.207	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Tirup	1150-1350 AD	VKH 1201	BD	B	Arm position	?	1290-1350 AD	1290-1350 AD	Plague PCR detection			
LP218	G.21	Tooth	Denmark	Region Zealand	Lolland Municipality	Refshale	1100-1350 AD	Refshale	BD	B	Arm position	?	1100 - 1350 AD	1250 - 1400	Plague PCR detection			
LD57	G.217 x850	Tooth	Denmark	Central Denmark Region	Viborg Municipality	Sct Drotten	1100-1529 AD	VSM 09264	Pre-BD	Pre-1300	Arm position & stratigraphy	1100-1350 AD	1100 - 1300 AD	1100 - 1300 AD	"GWAS, exon, neutral, Plague PCR Detection"	929.6		
LD73	G.221	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Post-BD	CC	Arm position	1350-1560 AD	1350 - 1450 AD	1400 - 1536	Plague PCR detection			
LP123	G.221 	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Post-BD	CC	Arm position	1350-1560 AD	1350 - 1450 AD	1400 - 1536	Plague PCR detection			
LP122	G.222	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Post-BD	CC	Arm position	1350-1560 AD	1350 - 1450 AD	1400 - 1536	Plague PCR detection			
LP170	G.228B	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Pre-BD	Before - A	Arm position	1250-1350 AD	1250 - 1350 AD	1250 - 1300	"Exon, neutral, Plague PCR Detection"	11.9	1	
LP171	G.23	Tooth	Denmark	Region Zealand	Lolland Municipality	Refshale	1100-1350 AD	Refshale	Pre-BD	B	Arm position	1100-1350 AD	1100 - 1350 AD	1250 - 1400	Plague PCR detection			
LD111	G.248 x613	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Post-BD	?C	Arm position	1350-1560 AD	1350 - 1450 AD	1400 - 1536	Plague PCR detection			
LP211	G.251	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Tirup	1150-1350 AD	VKH 1201	BD	B	Arm position	?	1290-1350 AD	1290-1350 AD	Plague PCR detection			
LD55	G.257	Tooth	Denmark	Central Denmark Region	Viborg Municipality	Sct Drotten	1100-1529 AD	VSM 09264	Pre-BD	Pre-1300	Arm position & stratigraphy	1100-1350 AD	1100 - 1300 AD	1100 - 1300 AD	Plague PCR detection			
LD62	G.25A	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Post-BD	CA	Arm position	1350-1560 AD	1350 - 1450 AD	1400 - 1536	Plague PCR detection		6	Positive
LR36	G.25B x98	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Post-BD	CB	Arm position	1350-1560 AD	1350 - 1450 AD	1400 - 1536	Plague PCR detection		6	Positive
LR27	G.260 K539 x876	Tooth	Denmark	Central Denmark Region	Viborg Municipality	Sct Drotten	1100-1529 AD	VSM 09264	Pre-BD	Pre-1300	Arm position & stratigraphy	1100-1350 AD	1100 - 1300 AD	1100 - 1300 AD	Plague PCR detection		3	
LP146	G.262	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Pre-BD	Before	Arm position	1250-1350 AD			"GWAS, exon, neutral, Plague PCR Detection"	261		
LR28	G.263 x874	Tooth	Denmark	Central Denmark Region	Viborg Municipality	Sct Drotten	1100-1529 AD	VSM 09264	Pre-BD	Pre-1300	Arm position & stratigraphy	1100-1350 AD	1100 - 1300 AD	1100 - 1300 AD	Plague PCR detection			
LR29	G.266 x880	Tooth	Denmark	Central Denmark Region	Viborg Municipality	Sct Drotten	1100-1529 AD	VSM 09264	Pre-BD	Pre-1300	Arm position & stratigraphy	1100-1350 AD	1100 - 1300 AD	1100 - 1300 AD	Plague PCR detection			
LD112	G.279	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Post-BD	BC	Arm position	1350-1560 AD	1350 - 1450 AD	1400 - 1536	Plague PCR detection			
LD56	G.294 x960	Tooth	Denmark	Central Denmark Region	Viborg Municipality	Sct Drotten	1100-1529 AD	VSM 09264	Pre-BD	Pre-1300	Arm position & stratigraphy	1100-1350 AD	1100 - 1300 AD	1100 - 1300 AD	Plague PCR detection			
LR22	G.3	Tooth	Denmark	Central Denmark Region	Viborg Municipality	Sct Mathias	1100-1529 AD	VSM 906F	Pre-BD	Pre-1300	"Grave style, location, stratigraphy"	1100-1350 AD	1100 - 1300 AD	1100 - 1300 AD	Plague PCR detection			
LP121	G.30	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Post-BD	CC	Arm position	1350-1560 AD	1350 - 1450 AD	1400 - 1536	Plague PCR detection			
LR37	G.304 x781	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Post-BD	DB	Arm position	1350-1560 AD	1450 - 1536 AD	1400 - 1536	Plague PCR detection			
LR38	G.309	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Post-BD	DD	Arm position	1350-1560 AD	1450 - 1536 AD	1400 - 1536	Plague PCR detection		1	
LR31	G.31	Tooth	Denmark	Central Denmark Region	Viborg Municipality	Sct Michael	1000-1529 AD	JAH 1-77	Post-BD	C	Arm position	1350-1529 AD	1380 - 1520 AD	1400 - 1529	Plague PCR detection			
LD63	G.315 x822	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Post-BD	C?	Arm position	1350-1560 AD	1350 - 1450 AD	1400 - 1536	"GWAS, exon, neutral, Plague PCR Detection"	85		
LD64	G.324 x344	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Post-BD	DD	Arm position	1350-1560 AD	1450 - 1536 AD	1400 - 1536	Plague PCR detection			
LP156	G.326	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Pre-BD	Before	Arm position	1250-1350 AD	1250 - 1350 AD	1250 - 1350 AD	"GWAS, exon, neutral, Plague PCR Detection"	62.7	1	
LP219	G.34	Tooth	Denmark	Region Zealand	Lolland Municipality	Refshale	1100-1350 AD	Refshale	BD	B	Arm position	?	1100 - 1350 AD	1250 - 1400	Plague PCR detection			
LP147	G.341	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Pre-BD	Before	Arm position	1250-1350 AD	1250 - 1350 AD	1250 - 1350 AD	"GWAS, exon, neutral, Plague PCR Detection"	43.2		
LP119	G.36	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Post-BD	CC	Arm position	1350-1560 AD	1350 - 1450 AD	1400 - 1536	"GWAS, exon, neutral, Plague PCR Detection"	0.9	1	
LR43	G.364 	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Post-BD	DD	Arm position	1350-1560 AD	1450 - 1536 AD	1400 - 1536	Plague PCR detection		4	
LP212	G.371	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Tirup	1150-1350 AD	VKH 1201	BD	B	C14 (rib)	?	1185 - 1335 AD	1185 - 1335 AD	Plague PCR detection		6	Positive
LP120	G.39	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Post-BD	CC	Arm position	1350-1560 AD	1350 - 1450 AD	1400 - 1536	"GWAS, neutral, Plague PCR Detection"	0.3		
LR32	G.39	Tooth	Denmark	Central Denmark Region	Viborg Municipality	Sct Drotten	1100-1529 AD	VSM 902F 	Pre-BD	Pre-1300	Arm position & stratigraphy	1100-1350 AD	1100 - 1300 AD	1100 - 1300 AD	Plague PCR detection			
LD65	G.413	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Post-BD	AC	Arm position	?	1350 - 1450 AD	1400 - 1536	Plague PCR detection			
LP220	G.43	Tooth	Denmark	Region Zealand	Lolland Municipality	Refshale	1100-1350 AD	Refshale	BD	B	Arm position	?	1100 - 1350 AD	1250 - 1400	Plague PCR detection			
LP148	G.432	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Pre-BD	AA	Arm position	1250-1350 AD	1250-1350 AD	1250 - 1350	"GWAS, exon, neutral, Plague PCR Detection"	218		
LD74	G.438 x1369	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Post-BD	CC	Arm position	1350-1560 AD	1350 - 1450 AD	1400 - 1536	Plague PCR detection			
LP221	G.44	Tooth	Denmark	Region Zealand	Lolland Municipality	Refshale	1100-1350 AD	Refshale	BD	B	Arm position	?	1100 - 1350 AD	1250 - 1400	Plague PCR detection			
LP213	G.448	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Tirup	1150-1350 AD	VKH 1201	BD	B	Arm position	?	1290-1350 AD	1290-1350 AD	Plague PCR detection			
LP214	G.471	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Tirup	1150-1350 AD	VKH 1201	BD	B	Arm position	?	1290-1350 AD	1290-1350 AD	Plague PCR detection			
LR26	G.49	Tooth	Denmark	Central Denmark Region	Viborg Municipality	Sct Michael	1000-1529 AD	JAH 1-77	Post-BD	C	Arm position	1350-1529 AD	1380 - 1520 AD	1400 - 1529	Plague PCR detection			
LP215	G.522	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Tirup	1150-1350 AD	VKH 1201	BD	B	Arm position	?	1290-1350 AD	1290-1350 AD	Plague PCR detection			
LD113	G.53 	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Post-BD	D?	Arm position	1350-1560 AD	1450 - 1536 AD	1400 - 1536	Plague PCR detection			
LD58	G.55	Tooth	Denmark	Central Denmark Region	Viborg Municipality	Sct Drotten	1100-1529 AD	VSM 902F 	Pre-BD	Pre-1300	Arm position & stratigraphy	1100-1350 AD	1100 - 1300 AD	1100 - 1300 AD	Plague PCR detection			
LP216	G.587	Tooth	Denmark	Central Denmark Region	Horsens Municipality	Tirup	1150-1350 AD	VKH 1201	BD	B	Arm position	?	1290-1350 AD	1290-1350 AD	Plague PCR detection			
LR45	G.609	Tooth	Denmark	Central Denmark Region	Viborg Municipality	Sct Mathias	1100-1529 AD	VSM 855F	Pre-BD	Pre-1300	Excavation report	1100-1350 AD	1100 - 1300 AD	1100 - 1300 AD	Plague PCR detection			
LD114	G.61 x175	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Post-BD	AC	Arm position	?	1350 - 1450 AD	1400 - 1536	Plague PCR detection			
LD86	G.616	Tooth	Denmark	Central Denmark Region	Viborg Municipality	Sct Mathias	1100-1529 AD	VSM 855F	Pre-BD	Pre 	Burial Style - stone lined grave	1100-1350 AD	900 - 1100 AD	900 - 1100 AD	Plague PCR detection			
LD87	G.617	Tooth	Denmark	Central Denmark Region	Viborg Municipality	Sct Mathias	1100-1529 AD	VSM 855F	Pre-BD	Pre 1100	Burial Style - stone lined grave	1100-1350 AD	900 - 1100 AD	900 - 1100 AD	Plague PCR detection			
LD80	G.622	Tooth	Denmark	Central Denmark Region	Viborg Municipality	Sct Mathias	1100-1529 AD	VSM 855F	Pre-BD	Pre-1300	Finds report - pre-dates church	1100-1350 AD	1100 - 1300 AD	1100 - 1300 AD	Plague PCR detection			
LD120	G.623	Tooth	Denmark	Central Denmark Region	Viborg Municipality	Sct Mathias	1100-1529 AD	VSM 855F	Pre-BD	Pre-1300	Arm position & stratigraphy	1100-1350 AD	1100 - 1300 AD	1100 - 1300 AD	"GWAS, exon, neutral, Plague PCR Detection"	12.3		
LR46	G.636	Tooth	Denmark	Central Denmark Region	Viborg Municipality	Sct Mathias	1100-1529 AD	VSM 855F	Pre-BD	Pre (AA)	Arm position	1100-1350 AD	1100 - 1250 AD	1100 - 1250 AD	Plague PCR detection			
LD88	G.649	Tooth	Denmark	Central Denmark Region	Viborg Municipality	Sct Mathias	1100-1529 AD	VSM 855F	Pre-BD	Pre-1300	Excavation report	1100-1350 AD	1100 - 1300 AD	1100 - 1300 AD	"Exon, Plague PCR Detection"	41.3		
LD109	G.67	Tooth	Denmark	Central Denmark Region	Viborg Municipality	Sct Drotten	1100-1529 AD	VSM 902F	Pre-BD	Pre-1300	Arm position & stratigraphy	1100-1350 AD	1100 - 1300 AD	1100 - 1300 AD	"GWAS, exon, neutral, Plague PCR detection"	107.5		
LD110	G.68	Tooth	Denmark	Central Denmark Region	Viborg Municipality	Sct Drotten	1100-1529 AD	VSM 902F 	Pre-BD	Pre-1300	Arm position & stratigraphy	1100-1350 AD	1100 - 1300 AD	1100 - 1300 AD	Plague PCR detection			
LR44	G.70 x212	Tooth	Denmark	Region of Southern Denmark	Esbjerg Municipality	Ribe Gra?brødre	1250-1560 AD	ASR 1015	Post-BD	CC	Arm position	1350-1560 AD	1350 - 1450 AD	1400 - 1536	Plague PCR detection		3	
